condition,contradicted_memory_claims,country,language,memory_completeness,memory_hits,nsfw_fully_completed,rater_id,rating_status,reflection_quality,response_id,unsupported_additions
german,0,BG,de,0.0,0,4,A,complete,3.6666666666666665,P503,1
german,0,BG,de,0.0,0,4,B,complete,4.0,P503,0
native,0,BG,bg,0.0,0,4,A,complete,3.6666666666666665,P104,0
native,0,BG,bg,0.0,0,4,B,complete,4.0,P104,0
german_repeat_1,0,DE,de,0.0,0,4,A,complete,3.6666666666666665,P287,0
german_repeat_1,0,DE,de,0.0,0,4,B,complete,4.0,P287,0
german_repeat_2,0,DE,de,0.0,0,4,A,complete,3.6666666666666665,P428,0
german_repeat_2,0,DE,de,0.0,0,4,B,complete,4.0,P428,0
german,0,JP,de,0.0,0,4,A,complete,3.6666666666666665,P975,0
german,0,JP,de,0.0,0,4,B,complete,4.0,P975,0
native,0,JP,ja,0.0,0,4,A,complete,3.6666666666666665,P619,0
native,0,JP,ja,0.0,0,4,B,complete,4.0,P619,0
native,0,BR,pt-BR,0.0,0,4,A,complete,3.6666666666666665,P856,0
native,0,BR,pt-BR,0.0,0,4,B,complete,4.0,P856,0
german,0,BR,de,0.0,0,4,A,complete,3.6666666666666665,P903,0
german,0,BR,de,0.0,0,4,B,complete,4.0,P903,0
native,0,US,en-US,0.0,0,4,A,complete,3.6666666666666665,P361,0
native,0,US,en-US,0.0,0,4,B,complete,4.0,P361,0
german,0,US,de,0.0,0,4,A,complete,3.6666666666666665,P742,0
german,0,US,de,0.0,0,4,B,complete,4.0,P742,0
